Number,Area,Date,Average,Highest,Lowest,Precipitation,Humidity
288,밀양,2018-07-12,28.60 ,34.2,23.1,,74
288,밀양,2018-07-13,29.60 ,35.4,24.2,,73
288,밀양,2018-07-14,29.90 ,35.7,24.4,,72
288,밀양,2018-07-15,30.10 ,36.4,25,,71
288,밀양,2018-07-16,29.90 ,36,24.9,,74
289,산청,2018-07-09,19.80 ,21.2,18.1,4,95
289,산청,2018-07-10,25.00 ,29.2,20.1,,82
289,산청,2018-07-11,27.50 ,32.3,22.9,,78
289,산청,2018-07-12,27.40 ,33.3,23.2,,81
289,산청,2018-07-13,28.50 ,35.1,23.2,,78
289,산청,2018-07-14,29.10 ,36,23.3,,73
289,산청,2018-07-15,28.80 ,35.8,22.7,,77
289,산청,2018-07-16,28.70 ,34.8,23.6,,75
294,거제,2018-07-09,20.60 ,22,19,13.5,100
294,거제,2018-07-10,25.00 ,30.5,20.3,,93
294,거제,2018-07-11,27.70 ,33.1,22.5,,86
294,거제,2018-07-12,27.80 ,32.2,24,,90
294,거제,2018-07-13,28.60 ,33.9,25,,87
294,거제,2018-07-14,28.40 ,33.8,24.2,,85
294,거제,2018-07-15,28.30 ,34.9,23.8,,86
294,거제,2018-07-16,28.40 ,33.8,23.1,,79
295,남해,2018-07-09,19.80 ,21,18.7,28.5,98
295,남해,2018-07-10,23.90 ,29.4,20.6,,89
295,남해,2018-07-11,26.60 ,31.8,22.3,,82
295,남해,2018-07-12,27.20 ,32.4,23.4,,83
295,남해,2018-07-13,28.00 ,33.2,23,,82
295,남해,2018-07-14,28.20 ,34.3,23.7,,81
